state;on_home;title;geolink;type;location;start_date;end_date
ARCHIVED;false;BRUGSE BEER X;https://www.geocaching.com/geocache/GC846WJ;MEGA;N 51° 08.883 E 003° 14.074;2022-10-08 08:00:00;2022-10-08 18:00:00
ONLINE;false;CITO @ BBX;https://www.geocaching.com/geocache/GC9ZGRR;CITO;N 51° 08.868 E 003° 14.096;2022-10-09 09:00:00;2022-10-09 12:00:00
ONLINE;true;Geocaching Brughia GIFFestival 2023;https://www.geocaching.com/geocache/GCAA07Q;REGULAR;N 51° 09.402 E 003° 14.713;2023-11-17 20:00:00;2023-11-17 22:00:00
